id,source_url,title,institution,ministry,domain,document_type,language,date,usage_label,quality_score,priority_rank,summary,notes,source_kind,seed_id,discovery_anchor_text,document_sensitivity_guess,accessed_at,raw_file,text_length,text_hash
adm-vodenje-poslovnih-knjig-4bf0091638,https://spot.gov.si/sl/teme/vodenje-poslovnih-knjig,Vodenje poslovnih knjig,SPOT / Republika Slovenija,Ministrstvo za finance / poslovni postopki,tax-and-bookkeeping,manual/handbook,sl,2. 1. 2016,BOTH,5,2,Kazalo Izdajanje in hramba računov Davčne blagajne in vezane knjige računov,Seed za odkrivanje dodatnih davčnih in knjigovodskih postopkov na portalu SPOT.,discovered,seed-spot-finance,Vodenje poslovnih knjig,public,2026-04-07,data\raw\expanded\adm-vodenje-poslovnih-knjig-4bf0091638.html,19950,aceee0bad5e4195413f12bd0c2ede68e7193d45ac1243f3b5412ec48aaa1d864
adm-vpis-v-davcni-register-8b1a4708bf,https://spot.gov.si/sl/teme/vpis-v-davcni-register,Vpis v davčni register,SPOT / Republika Slovenija,Ministrstvo za finance / poslovni postopki,tax-registration,procedure page,sl,,BOTH,4,2,"Davčni register je register, v katerem so vpisani vsi zavezanci za davek. Vodi ga Finančna uprava Republike Slovenije. Kazalo Davčna številka",Seed za odkrivanje dodatnih davčnih in knjigovodskih postopkov na portalu SPOT.,discovered,seed-spot-finance,Vpis v davčni register,public,2026-04-07,data\raw\expanded\adm-vpis-v-davcni-register-8b1a4708bf.html,3916,63bec798cff6e7f6a9f175fbda5eb0eea899d91aa1dc374e9aeff419d193ca5f
seed-spot-finance,https://spot.gov.si/sl/poslovanje/davki-in-vodenje-poslovnih-knjig,Davki in vodenje poslovnih knjig,SPOT / Republika Slovenija,Ministrstvo za finance / poslovni postopki,tax,procedure hub,sl,,BOTH,5,2,Davki v Sloveniji so odvisni od dejavnosti in organizacijske oblike podjetja. Vsa podjetja morajo voditi tudi poslovne knjige. Vodenje poslovnih knjig,Seed za odkrivanje dodatnih davčnih in knjigovodskih postopkov na portalu SPOT.,seed,seed-spot-finance,Davki in vodenje poslovnih knjig,public,2026-04-07,data\raw\expanded\seed-spot-finance.html,463,8c5ab9f3acd67268366a8dd0a24a86640d70fe66f71815f764220f1fb827db47
adm-www-gov-si-49d3aae9cb,https://www.gov.si/teme/financiranje-obcin/,Financiranje občin,Ministrstvo za javno upravo,Ministrstvo za javno upravo,local-government,manual/handbook,sl,31. 12. 2024,FINETUNE,5,5,"Za vse občine v Republiki Sloveniji, ne glede na njihovo raznolikost, velja enak sistem financiranja. Naš cilj je državljanom zagotoviti enake možnosti za zadovoljevanje skupnih potreb in interesov ne glede na to, v kateri občini prebivajo. Občine se financirajo z lastnimi viri, ti pomenijo več kot 90 odstotkov vseh...",Seed za odkrivanje tematskih strani MJU z uradno terminologijo in procesnim jezikom.,discovered,seed-mju-themes,Financiranje občin,public,2026-04-07,data\raw\expanded\adm-www-gov-si-49d3aae9cb.html,37653,592ac3cc091834a3d0faa85cb9fb3d490f6108a0cc207b192687e2969b472861
adm-www-gov-si-bad6dd99f6,https://www.gov.si/teme/informacije-javnega-znacaja/,Informacije javnega značaja,Ministrstvo za javno upravo,Ministrstvo za javno upravo,access-to-public-information,manual/handbook,sl,24. 4. 2024,FINETUNE,5,5,Zavedamo se pomembnosti odprtega in transparentnega delovanja vseh organov javnega sektorja. Skladno z določili in namenom Zakona o dostopu do informacij javnega značaja (ZDIJZ) zato nenehno delujemo za ohranjanje ravni transparentnosti delovanja javnega sektorja oziroma se z novimi ukrepi trudimo to raven še poviša...,Seed za odkrivanje tematskih strani MJU z uradno terminologijo in procesnim jezikom.,discovered,seed-mju-themes,Informacije javnega značaja,public,2026-04-07,data\raw\expanded\adm-www-gov-si-bad6dd99f6.html,23192,46faafabf82074f024a86e3355c207ec2b14811c51d93e75bda21a1f02c36a4c
adm-www-gov-si-358a5ad9e3,https://www.gov.si/teme/lokalna-samouprava-in-mednarodna-skupnost/,Lokalna samouprava in mednarodna skupnost,Ministrstvo za javno upravo,Ministrstvo za javno upravo,local-government,manual/handbook,sl,,FINETUNE,4,5,"Lokalna samouprava je v izključni pristojnosti Republike Slovenije, zato zakonodaje ne prilagaja pravnemu redu Evropske unije, je pa zavezana k spoštovanju Evropske listine lokalne samouprave – MELLS. Predstavniki slovenskih občin sodelujejo v več mednarodnih organizacijah občin in regij. Uradni delegaciji ima Slove...",Seed za odkrivanje tematskih strani MJU z uradno terminologijo in procesnim jezikom.,discovered,seed-mju-themes,Lokalna samouprava in mednarodna skupnost,public,2026-04-07,data\raw\expanded\adm-www-gov-si-358a5ad9e3.html,3778,9f629940f9cec0595ddb86d032178f88c48f471050fa2d904f5f6b707f68c159
adm-www-gov-si-fcdbf5a7f4,https://www.gov.si/teme/naloge-obcin/,Naloge občin,Ministrstvo za javno upravo,Ministrstvo za javno upravo,local-government,manual/handbook,sl,31. 8. 2020,FINETUNE,5,5,"Med lokalne zadeve spadajo vse tiste zadeve, ki jih občine lahko urejajo samostojno in se nanašajo samo na prebivalce občine. Tudi kadar nalogo določa zakon, jo občine zaradi lokalnih posebnosti lahko urejajo različno. Večina nalog v pristojnosti občine se nanaša na področja prostorskega načrtovanja, gradnje objekto...",Seed za odkrivanje tematskih strani MJU z uradno terminologijo in procesnim jezikom.,discovered,seed-mju-themes,Naloge občin,public,2026-04-07,data\raw\expanded\adm-www-gov-si-fcdbf5a7f4.html,13667,e69609e79e38c22bce49920e4b975cbfbef51e206be9dfd32869526ee4338076
adm-www-gov-si-ac902264a2,https://www.gov.si/teme/obcine-v-stevilkah/,Občine v številkah,Ministrstvo za javno upravo,Ministrstvo za javno upravo,local-government,manual/handbook,sl,,FINETUNE,4,5,"Osnovna organizacijska oblika lokalne samouprave je občina. V Sloveniji deluje 212 občin, od tega jih ima dvanajst status mestne občine. Kazalo Občine in število prebivalcev",Seed za odkrivanje tematskih strani MJU z uradno terminologijo in procesnim jezikom.,discovered,seed-mju-themes,Občine v številkah,public,2026-04-07,data\raw\expanded\adm-www-gov-si-ac902264a2.html,3004,d9a0b2185b117523bdc48b62ddc819016ffb14a819e82c45318eb5e9a88587e6
adm-www-gov-si-0103d6b124,https://www.gov.si/teme/obcinski-organi/,Občinski organi,Ministrstvo za javno upravo,Ministrstvo za javno upravo,local-government,manual/handbook,sl,,FINETUNE,4,5,"Osnovne enote lokalne samouprave so občine ali mestne občine. Občine so enakopraven partner države, upravljajo jih trije samostojni organi – župan, občinski svet in nadzorni odbor. Župana in člane občinskega sveta izvolijo prebivalci na lokalnih volitvah vsake štiri leta, nadzorni svet pa imenujejo občinski svetniki...",Seed za odkrivanje tematskih strani MJU z uradno terminologijo in procesnim jezikom.,discovered,seed-mju-themes,Občinski organi,public,2026-04-07,data\raw\expanded\adm-www-gov-si-0103d6b124.html,4418,ca3e93c85414c83991b439dc139ea2fc1e447dadeaf6a46c322b0edc925c07e7
adm-www-gov-si-e473483aba,https://www.gov.si/teme/placni-sistem/,Plačni sistem,Ministrstvo za javno upravo,Ministrstvo za javno upravo,public-sector-pay,manual/handbook,sl,6. 12. 2024,FINETUNE,5,5,"Plačni sistem javnega sektorja velja za ves javni sektor, ki ga sestavljajo proračunski uporabniki (državni organi, občine, javni zavodi, javni skladi, javne agencije, javni gospodarski zavodi). To pomeni, da ga uporablja skoraj dva tisoč proračunskih uporabnikov s približno 190.000 zaposlenimi iz različnih dejavnos...",Seed za odkrivanje tematskih strani MJU z uradno terminologijo in procesnim jezikom.,discovered,seed-mju-themes,Plačni sistem,public,2026-04-07,data\raw\expanded\adm-www-gov-si-e473483aba.html,31265,ad888a3cde60b4ed145a708edfcafbeb0267336c213fbf44708608ece9190ca6
adm-www-gov-si-6c4f923858,https://www.gov.si/teme/ravnanje-s-kadri/,Ravnanje s kadri,Ministrstvo za javno upravo,Ministrstvo za javno upravo,public-sector-hr,manual/handbook,sl,9. 9. 2025,FINETUNE,5,5,"Hiter družbeni in tehnološki razvoj močno vpliva na način dela v državni upravi in predstavlja izziv, h kateremu je potrebno pristopiti celostno, z zavedanjem, da so ključni element učinkovite državne uprave prav strokovni, odgovorni in motivirani zaposleni. Kazalo Strategija ravnanja s kadri v državni upravi do let...",Seed za odkrivanje tematskih strani MJU z uradno terminologijo in procesnim jezikom.,discovered,seed-mju-themes,Ravnanje s kadri,public,2026-04-07,data\raw\expanded\adm-www-gov-si-6c4f923858.html,34676,63e5bfcd5a0d053bbf25098ec38c8d6cb871eb060703e5795b1efe4ee21cf441
adm-www-gov-si-fc50ff3524,https://www.gov.si/teme/skupno-javno-narocanje/,Skupno javno naročanje,Ministrstvo za javno upravo,Ministrstvo za javno upravo,public-procurement,manual/handbook,sl,,BOTH,4,5,"Kadar skupno naročanje povečuje gospodarnost in učinkovitost porabe proračunskih sredstev in ne zmanjšuje konkurence na trgu, se za posamezne predmete javnega naročanja lahko izvede skupno javno naročanje ministrstev, organov v sestavi ministrstev, vladnih služb in upravnih enot. Prav tako se lahko izvede skupno jav...",Seed za odkrivanje tematskih strani MJU z uradno terminologijo in procesnim jezikom.,discovered,seed-mju-themes,Skupno javno naročanje,public,2026-04-07,data\raw\expanded\adm-www-gov-si-fc50ff3524.html,4554,e4b36e482d694060241a6b6cc76dcc6dd6d90f58a9f99e4b9d0f483fd6e7f51a
adm-www-gov-si-5984fa60fa,https://www.gov.si/teme/upravne-takse/,Upravne takse,Ministrstvo za javno upravo,Ministrstvo za javno upravo,administrative-fees,manual/handbook,sl,,FINETUNE,4,5,"Pri poslovanju organov državne uprave, občinskih organov in nosilcev javnih pooblastil je za nekatere upravne storitve predvideno plačilo upravne takse. Zavezanec za plačilo je tisti, ki vloži vlogo in tako začne upravni ali drug postopek, za katerega je predvideno plačilo upravne takse. Kazalo Splošno o upravnih ta...",Seed za odkrivanje tematskih strani MJU z uradno terminologijo in procesnim jezikom.,discovered,seed-mju-themes,Upravne takse,public,2026-04-07,data\raw\expanded\adm-www-gov-si-5984fa60fa.html,4639,a0a17bbe7dcc29e8fc05fd021b8d587263ea50b2a15877d7c8ee692a31f6130f
adm-www-gov-si-1b8cd4d940,https://www.gov.si/teme/upravni-postopek/,Upravni postopek,Ministrstvo za javno upravo,Ministrstvo za javno upravo,administrative-procedure,procedure page,sl,,BOTH,5,5,"Upravni postopek je namenjen urejanju procesnih razmerij med oblastnim organom in drugimi udeleženci upravnega postopka, ko se odloča o upravni zadevi, to je pravici, pravni koristi ali obveznosti s področja upravnega prava. Upravni postopek sestavljajo temeljna načela, kot minimalni standardi vsakega procesnega var...",Seed za odkrivanje tematskih strani MJU z uradno terminologijo in procesnim jezikom.,discovered,seed-mju-themes,Upravni postopek,public,2026-04-07,data\raw\expanded\adm-www-gov-si-1b8cd4d940.html,6273,83a58a05733313c5b71d640a2603858a0f3b96d05ed06b404405238849caf681
adm-www-gov-si-b10cfbf4d7,https://www.gov.si/teme/upravno-poslovanje/,Upravno poslovanje,Ministrstvo za javno upravo,Ministrstvo za javno upravo,administrative-operations,manual/handbook,sl,,FINETUNE,5,5,"Pravila upravnega poslovanja urejajo standarde delovanja upravnih organov in nosilcev javnih pooblastil, ki uporabnikom upravnih storitev zagotavljajo primerno in kakovostno obravnavo, kot se spodobi za sodobno, k uporabniku usmerjeno upravo. Določajo dolžna dejanja, ki uporabnikom olajšajo poslovanje z upravo, dolo...",Seed za odkrivanje tematskih strani MJU z uradno terminologijo in procesnim jezikom.,discovered,seed-mju-themes,Upravno poslovanje,public,2026-04-07,data\raw\expanded\adm-www-gov-si-b10cfbf4d7.html,11348,cf5c893b6d3fa179004598718e38ffe74d9e699725948dcbf2a12b591aa4472a
adm-www-gov-si-16649cc383,https://www.gov.si/teme/usluzbenski-sistem/,Uslužbenski sistem,Ministrstvo za javno upravo,Ministrstvo za javno upravo,public-sector-hr,manual/handbook,sl,13. 1. 2026,FINETUNE,5,5,"Uslužbenski sistem v Sloveniji je del delovnega prava, ki ureja posebnosti delovnih razmerij, pri katerih je delodajalec država, lokalna skupnost ali druga oseba javnega prava. Posebnosti delovnih razmerij v uslužbenskem sistemu izhajajo iz narave dela, ki ga opravljajo javni uslužbenci, in jih ureja Zakon o javnih...",Seed za odkrivanje tematskih strani MJU z uradno terminologijo in procesnim jezikom.,discovered,seed-mju-themes,Uslužbenski sistem,public,2026-04-07,data\raw\expanded\adm-www-gov-si-16649cc383.html,22709,62c43f64e8dcdef9544a329f53f21bd3124b7e1aba9e0e5e37b4b709fcabcb65
adm-www-gov-si-70ebc85f1e,https://www.gov.si/teme/zeleno-javno-narocanje/,Zeleno javno naročanje,Ministrstvo za javno upravo,Ministrstvo za javno upravo,public-procurement,manual/handbook,sl,,BOTH,4,5,"Zeleno javno naročanje je naročanje, pri katerem naročnik po Zakonu o javnem naročanju naroča blago, storitve ali gradnje, ki imajo v primerjavi z običajnim blagom, storitvami in gradnjami v celotni življenjski dobi manjši vpliv na okolje, zagotavljajo varčevanje z naravnimi viri, materiali in energijo ter imajo ena...",Seed za odkrivanje tematskih strani MJU z uradno terminologijo in procesnim jezikom.,discovered,seed-mju-themes,Zeleno javno naročanje,public,2026-04-07,data\raw\expanded\adm-www-gov-si-70ebc85f1e.html,5911,873617504c60e00fb442e007a6079ed883baea98d8ba3be6e7c6d89e6257f45e
seed-mju-themes,https://www.gov.si/drzavni-organi/ministrstva/ministrstvo-za-javno-upravo/teme-in-projekti/,Teme in projekti Ministrstva za javno upravo,Ministrstvo za javno upravo,Ministrstvo za javno upravo,public-administration,topic hub,sl,,FINETUNE,5,5,"Naročanje na obisk upravnih enot Preverite, kako in na kateri upravni enoti je možno rezervirati termin za upravne postopke. Teme",Seed za odkrivanje tematskih strani MJU z uradno terminologijo in procesnim jezikom.,seed,seed-mju-themes,Teme in projekti Ministrstva za javno upravo,public,2026-04-07,data\raw\expanded\seed-mju-themes.html,17799,00bb55d18094ee1d2b50b93fe515bae0e6c58f96e734955d145541cede2882f6
adm-www-gov-si-e8f8767231,https://www.gov.si/podrocja/drzava-in-druzba/javni-sektor/pravice-in-obveznosti-javnih-usluzbencev/,Pravice in obveznosti javnih uslužbencev,Ministrstvo za javno upravo,Ministrstvo za javno upravo,public-sector-pay,topic hub,sl,,FINETUNE,4,6,"Pravice in obveznosti javnih uslužbencev urejajo zakon o javnih uslužbencih in drugi predpisi ter kolektivne pogodbe. Z njimi so opredeljeni pogoji dela, pravni okvir ter odgovornosti zaposlenih v javnem sektorju. Pravice in obveznosti so medsebojno povezani in omogočajo ustvarjanje učinkovitega, pravičnega in zakon...","Seed za dodatno odkrivanje vsebin s področja javnega sektorja, upravnega poslovanja in transparentnosti.",discovered,seed-public-sector-overview,"Pravice in obveznosti javnih uslužbencev Uslužbenski sistem, uveljavljanje pravic javnih uslužbencev iz delovnega razmerja, plačni sistem, povračila stroškov in drugi osebni prejemki, usposabljanje javnih uslužbencev, funkcionarji.",public,2026-04-07,data\raw\expanded\adm-www-gov-si-e8f8767231.html,1897,9d145b0e876ae5dba92fb1f92bc42c47de95ced535f5df45dd7095c67a69b0c1
adm-www-gov-si-d57ed02ac2,https://www.gov.si/podrocja/drzava-in-druzba/javni-sektor/razvoj-in-upravljanje-javnega-sektorja/,Razvoj in upravljanje javnega sektorja,Ministrstvo za javno upravo,Ministrstvo za javno upravo,public-administration,topic hub,sl,,FINETUNE,4,6,"Učinkovit in zaupanja vreden javni sektor je poleg konkurenčnega gospodarstva in družbene povezanosti pomemben dejavnik razvoja Slovenije. Zato je naš cilj oblikovanje kakovostnega javnega sektorja, ki bo prebivalcem in podjetjem ponujal dostopne in uporabnikom prilagojene storitve. Ravnanje s kadri Usposabljanje ja...","Seed za dodatno odkrivanje vsebin s področja javnega sektorja, upravnega poslovanja in transparentnosti.",discovered,seed-public-sector-overview,"Razvoj in upravljanje javnega sektorja Upravljanje kadrov, usposabljanje javnih uslužbencev, kakovost in inovativnost v javnem sektorju, informatika v državni upravi, javne agencije in javni zavodi.",public,2026-04-07,data\raw\expanded\adm-www-gov-si-d57ed02ac2.html,1203,d6504c16427e38e32d6bb55de6a4d661a82033d1105c06ad2549ced0b07ba787
adm-www-gov-si-5a3dadde3b,https://www.gov.si/podrocja/drzava-in-druzba/javni-sektor/transparentnost-in-integriteta/,Transparentnost in integriteta,Ministrstvo za javno upravo,Ministrstvo za javno upravo,access-to-public-information,topic hub,sl,,FINETUNE,4,6,"Transparentnost in integriteta sta temeljni načeli delovanja javnega sektorja, ki zagotavljata, da javnost zaupa v institucije, preprečujeta korupcijo ter omogočata učinkovito in odgovorno izvajanje javnih storitev. Informacije javnega značaja Integriteta","Seed za dodatno odkrivanje vsebin s področja javnega sektorja, upravnega poslovanja in transparentnosti.",discovered,seed-public-sector-overview,"Transparentnost in integriteta Informacije javnega značaja, integriteta.",public,2026-04-07,data\raw\expanded\adm-www-gov-si-5a3dadde3b.html,2378,802db6b671900ee7b9e25bcee69f001140d3373dceebf1c8eff94a7c613238fd
adm-www-gov-si-9b4bdf2270,https://www.gov.si/podrocja/drzava-in-druzba/javni-sektor/upravno-poslovanje/,Upravno poslovanje,Ministrstvo za javno upravo,Ministrstvo za javno upravo,administrative-procedure,procedure page,sl,,BOTH,4,6,"Pravila upravnega poslovanja, upravni postopek in inšpekcijski nadzor so ključni elementi delovanja javne uprave, ki skupaj zagotavljajo zakonitost, učinkovitost in zaščito pravic vseh udeležencev. Upravni postopek Upravne takse","Seed za dodatno odkrivanje vsebin s področja javnega sektorja, upravnega poslovanja in transparentnosti.",discovered,seed-public-sector-overview,"Upravno poslovanje Upravno poslovanje, upravni postopek, upravne takse, informacije javnega značaja.",public,2026-04-07,data\raw\expanded\adm-www-gov-si-9b4bdf2270.html,1323,cf54ecd2adc8a9870c23f089de3169101df9bd8b8c8710cde1df454adf9248e9
seed-public-sector-overview,https://www.gov.si/podrocja/drzava-in-druzba/javni-sektor/,Javni sektor,Ministrstvo za javno upravo,Ministrstvo za javno upravo,public-administration,topic hub,sl,,FINETUNE,5,6,"Javni sektor v Sloveniji je obsežen sistem, ki zajema različne organizacije in institucije, katerih naloga je zagotavljanje javnih storitev in uresničevanje javnih interesov. Njegova organiziranost temelji na zakonsko določenih oblikah in strukturah, ki so namenjene učinkovitemu izvajanju nalog državne in lokalnih s...","Seed za dodatno odkrivanje vsebin s področja javnega sektorja, upravnega poslovanja in transparentnosti.",seed,seed-public-sector-overview,Javni sektor,public,2026-04-07,data\raw\expanded\seed-public-sector-overview.html,1035,54aa6bcc78c2c19da301ad88881bc53b94e99fdbaa44baab24464ae2efa91d34
